TableName,Columns
ServiceTreePpe_MetadataDefinition_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; IsComplex; IsMultipleAllowed; IsPerCloud; Discriminator; Type; Permission; Tags; JsonSchema; OwningServiceInternalId; Created; CreatedBy; Modified; ModifiedBy; IsValueUnique; DisplayOrder; AllowEmptyValue; IsServiceDeleteBlocker; DeprovisioningWiki; DeprovisioningContactAlias; ApplicableLevel; AuthorizedRoles""]"
ServiceTreePpe_Endpoint_Snapshot,"[""; Id; ChangeVersion; Status; Address; ComponentInternalId; AzureCloud; Environment; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_OrganizationMetadata_Snapshot,"[""; Id; ChangeVersion; Status; Value; OrganizationInternalId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_AzureSubscriptionMetadata_Snapshot,"[""; Id; ChangeVersion; Status; Value; SubscriptionId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_AzureSubscription_Snapshot,"[""; ChangeVersion; Id; SubscriptionId; SubscriptionName; ServiceId; ServiceLevel; ServiceName; AzureCloud; Environment; IsHostedOnBehalfOf; Notes; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_Hierarchy_Snapshot,"[""; ChangeVersion; Id; Level; Name; DivisionName; DivisionId; OrganizationName; OrganizationId; ServiceGroupName; ServiceGroupId; TeamGroupName; TeamGroupId; ServiceName; ServiceId; MicroServiceName; MicroServiceId; ComponentName; ComponentId; Description; Tags; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_OrganizationCommonMetadata_Snapshot,"[""; ChangeVersion; OrganizationId; OrganizationLevel; OrganizationName; BusinessOwner""]"
ServiceTree_OfferingToService_Snapshot,"[""; OfferingId; ServiceId""]"
DataStudio_ServiceTree_OrganizationMetadata_Snapshot,"[""; ChangeVersion; Id; OrganizationId; OrganizationLevel; OrganizationName; Type; Value; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_Offering_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; Name; Description; Tags; Comments; CustomerType; Category; Venue; Created; CreatedBy; Modified; ModifiedBy""]"
